transaction_id,transaction_date,transaction_amount,merchant_category,card_type,transaction_location,cardholder_age,cardholder_gender,transaction_description,account_balance,calander_income
1,23-04-2024,7277,Entertainment,Amex,Bengaluru,9,Other,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",31454,159045
2,11-07-2022,8919,Restaurant,Amex,Jaipur,65,Male,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,96536,50525
3,22-12-2022,8023,Travel,Visa,Jaipur,57,Female,Quisque ut erat. Curabitur gravida nisi at nibh.,21820,148395
4,21-07-2022,392,Travel,Discover,Indore,7,Female,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,543,72023
5,30-04-2024,8347,Education,Discover,Pune,71,Other,Etiam pretium iaculis justo.,5872,53364
6,19-02-2022,8304,Travel,Visa,Chennai,16,Female,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",49814,129367
7,14-11-2023,7513,Groceries,Discover,Delhi,20,Male,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",40333,71652
8,01-06-2021,4836,Groceries,MasterCard,Mumbai,95,Other,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",71285,27802
9,07-11-2021,7751,Healthcare,Visa,Bengaluru,83,Female,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",85455,120301
10,15-09-2023,1592,Electronics,Visa,Chennai,34,Male,Nunc purus.,2795,167877
11,06-01-2024,8010,Entertainment,MasterCard,Ahmedabad,18,Female,Proin eu mi. Nulla ac enim.,85365,104320
12,25-08-2021,6747,Clothing,MasterCard,Bhopal,94,Other,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",67898,184469
13,06-05-2021,8461,Healthcare,Amex,Chennai,6,Other,Etiam vel augue. Vestibulum rutrum rutrum neque.,16973,117243
14,12-11-2023,7193,Entertainment,Visa,Hyderabad,91,Male,Sed accumsan felis.,74155,21235
15,16-05-2024,3539,Education,Amex,Pune,70,Male,Suspendisse potenti.,7315,142637
16,01-12-2021,9506,Healthcare,Discover,Pune,82,Male,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",43832,194185
17,13-09-2021,8690,Electronics,MasterCard,Hyderabad,70,Other,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,44748,90885
18,08-09-2023,816,Clothing,Visa,Indore,14,Other,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",94755,146941
19,12-02-2024,8517,Restaurant,MasterCard,Bengaluru,10,Other,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,89994,170902
20,13-01-2023,4199,Education,MasterCard,Delhi,89,Other,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",52008,111486
21,29-09-2021,8414,Electronics,Amex,Bhopal,59,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,73945,51952
22,23-04-2023,8052,Restaurant,Amex,Delhi,95,Male,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,60326,151087
23,14-10-2023,6576,Healthcare,Amex,Hyderabad,41,Female,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",12650,45427
